Player,Nation,Pos,Squad,Comp,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,SCA_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,GCA Types_OG,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Vs Dribbles_Tkl,Vs Dribbles_Att,Vs Dribbles_Tkl%,Vs Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Receiving_Prog,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Carlos Clerc,es ESP,DF,Levante,es La Liga,28-360,19.3,0,3,2,66.7,0.16,0.10,0.00,0.00,17.2,1,0,0,0.3,0.3,0.09,-0.3,-0.3,840,1072,78.4,14983,6116,423,471,89.8,325,391,83.1,82,170,48.2,2,2.5,-0.5,15,59,25,10,91,893,179,23,1,126,28,57,5,2,0,0,631,219,222,802,60,46,151,2,840,2,30,17,43,27,20,4,0,1,2,0,4,3,1,0,0,0,0,0,46,33,25,17,4,16,28,57.1,12,255,88,34.5,104,113,38,36,2,0,34,24,70,54,0,1256,55,402,566,373,23,1086,22,33,66.7,24,1,735,4142,2362,95,35,7,14,10,803,731,91.0,60,3,0,0,27,17,2,57,24,33,1,0,0,182,29,15,65.9
Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29-316,12.7,0,4,1,25.0,0.31,0.08,0.00,0.00,22.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,437,569,76.8,6900,2750,235,257,91.4,164,206,79.6,29,75,38.7,1,0.4,+0.6,4,19,13,6,25,441,128,4,0,58,5,13,0,0,0,0,320,122,127,22,395,21,124,2,437,2,12,13,22,7,5,1,0,1,0,0,1,1,0,0,0,0,0,0,20,8,14,6,0,7,14,50.0,7,115,31,27.0,73,28,14,25,2,0,23,13,33,32,0,669,37,235,322,149,7,543,3,5,60.0,3,0,318,1533,782,38,13,0,3,5,365,344,94.2,10,2,0,0,4,2,0,13,13,8,0,0,0,100,7,15,31.8
Conor Coady,eng ENG,DF,Wolves,eng Premier League,27-356,22.7,0,3,0,0.0,0.13,0.00,0.00,,16.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,985,1126,87.5,25017,9057,179,188,95.2,520,547,95.1,280,378,74.1,0,0.1,-0.1,2,42,0,0,37,1087,39,36,0,59,51,1,0,0,0,0,764,90,272,30,1032,50,1,3,985,3,14,13,5,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0,16,10,12,4,0,8,24,33.3,16,110,37,33.6,85,25,0,36,24,0,12,17,33,89,1,1284,250,830,507,9,7,1248,5,7,71.4,5,1,813,3824,1607,18,1,0,0,3,917,910,99.2,1,4,0,0,14,6,0,1,17,10,0,1,0,170,25,17,59.5
Marcus Coco,fr FRA,"MF,FW",Nantes,fr Ligue 1,24-236,12.6,0,12,0,0.0,0.95,0.00,0.00,,14.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8,324,471,68.8,5008,1025,173,217,79.7,104,150,69.3,26,58,44.8,2,1.0,+1.0,11,17,8,2,30,458,13,2,1,93,10,15,6,2,2,0,315,75,81,67,351,16,5,5,324,4,10,18,29,25,17,1,2,1,2,2,4,2,1,0,1,0,0,0,31,21,11,11,9,8,20,40.0,12,235,66,28.1,58,116,61,14,1,0,13,11,42,7,0,646,12,93,334,267,33,634,25,38,65.8,25,1,448,2057,981,46,19,2,28,36,624,459,73.6,82,4,0,0,36,26,1,15,11,21,1,0,0,100,28,38,42.4
Coke,es ESP,DF,Levante,es La Liga,33-295,3.6,0,4,1,25.0,1.10,0.28,0.00,0.00,17.1,1,0,0,0.2,0.2,0.05,-0.2,-0.2,123,160,76.9,2360,814,49,57,86.0,56,67,83.6,18,28,64.3,0,0.0,0.0,0,6,2,0,10,135,25,4,0,8,3,4,0,0,0,0,85,36,39,14,113,11,21,0,123,0,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,4,1,5,12,41.7,7,52,13,25.0,31,11,10,11,0,0,11,4,15,21,0,218,23,84,100,40,4,195,2,4,50.0,2,0,109,358,174,10,3,0,4,1,132,116,87.9,2,0,0,0,2,4,0,4,4,8,0,0,0,28,5,6,45.5
Séamus Coleman,ie IRL,DF,Everton,eng Premier League,32-127,8.0,0,4,3,75.0,0.50,0.37,0.00,0.00,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,345,410,84.1,6004,2261,170,188,90.4,139,155,89.7,33,57,57.9,1,0.6,+0.4,4,16,4,1,19,352,58,2,0,35,8,12,0,0,0,0,262,75,73,58,280,13,56,0,345,1,5,6,12,11,8,1,1,0,1,0,3,2,0,0,0,1,0,0,13,13,8,4,1,6,15,40.0,9,79,21,26.6,47,20,12,13,2,0,11,3,16,20,0,491,36,164,255,109,16,434,8,14,57.1,8,1,316,1764,842,35,10,5,5,14,340,305,89.7,20,0,0,0,5,5,0,12,3,13,0,0,0,68,8,6,57.1
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,it Serie A,21-014,6.7,1,16,7,43.8,2.38,1.04,0.06,0.14,14.4,0,0,0,1.7,1.7,0.10,-0.7,-0.7,147,205,71.7,2206,402,89,107,83.2,48,67,71.6,7,14,50.0,0,0.6,-0.6,4,8,6,1,11,202,3,0,1,54,2,7,0,0,0,0,152,35,18,23,165,13,0,2,147,1,5,5,15,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,6,0,3,8,37.5,5,105,28,26.7,26,42,37,7,0,0,7,2,8,1,0,317,3,31,158,163,26,314,14,21,66.7,14,2,250,1427,712,34,21,4,24,23,366,240,65.6,57,1,0,0,12,14,7,7,2,3,0,0,0,47,2,28,6.7
Omar Colley,gm GAM,DF,Sampdoria,it Serie A,28-114,15.8,1,7,2,28.6,0.44,0.13,0.14,0.50,7.7,0,0,0,0.9,0.9,0.12,+0.1,+0.1,484,610,79.3,10904,3937,122,144,84.7,262,289,90.7,94,166,56.6,0,0.0,0.0,1,60,0,0,43,588,22,21,0,63,18,4,0,0,0,0,370,73,167,411,136,38,1,2,484,2,11,10,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,12,9,2,4,10,40.0,6,117,42,35.9,69,44,4,20,14,1,6,29,52,73,1,759,116,400,366,31,11,738,0,1,0.0,0,0,373,2367,1198,29,7,0,2,2,449,431,96.0,2,3,0,0,17,12,1,4,29,13,0,0,0,147,44,27,62.0
Lorenzo Colombo,it ITA,FW,Milan,it Serie A,18-344,1.0,0,3,1,33.3,2.87,0.96,0.00,0.00,13.0,0,0,0,0.6,0.6,0.20,-0.6,-0.6,8,14,57.1,83,22,5,7,71.4,0,0,,1,2,50.0,0,0.0,0.0,0,0,1,1,0,14,0,0,0,7,0,1,0,0,0,0,9,1,4,7,4,2,0,0,8,0,1,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,2,0.0,2,32,6,18.8,5,20,7,0,0,0,0,1,3,2,0,26,2,5,11,13,5,26,0,1,0.0,0,0,14,89,52,4,1,1,2,3,32,14,43.8,3,0,0,0,1,0,3,1,1,2,0,0,0,6,3,3,50.0
Racine Coly,sn SEN,DF,Nice,fr Ligue 1,25-069,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,18,20,90.0,161,47,16,16,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,16,4,0,0,0,0,0,0,0,0,0,12,6,2,7,7,1,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0.0,1,4,3,75.0,2,2,0,0,0,0,0,0,1,0,0,21,1,6,16,2,0,17,0,0,,0,0,13,70,60,2,1,0,0,1,14,13,92.9,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,24-247,11.4,3,31,11,35.5,2.71,0.96,0.10,0.27,17.5,0,0,0,2.4,2.4,0.08,+0.6,+0.6,389,482,80.7,7106,1301,188,219,85.8,146,174,83.9,49,66,74.2,9,4.7,+4.3,27,9,26,11,36,476,6,1,5,72,21,49,1,0,0,0,326,77,79,114,336,21,4,2,389,0,10,7,18,49,40,0,6,2,1,0,12,10,0,2,0,0,0,0,15,10,7,7,1,5,17,29.4,12,184,57,31.0,34,76,74,12,0,0,12,6,21,4,0,645,3,53,211,419,82,639,35,55,63.6,39,2,523,3009,1762,108,20,28,24,30,680,515,75.7,119,1,0,0,11,18,3,49,6,10,0,0,0,73,6,13,31.6
Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,35-316,24.7,2,11,2,18.2,0.45,0.08,0.18,1.00,7.9,0,0,0,1.0,1.0,0.09,+1.0,+1.0,943,1097,86.0,20639,7853,261,286,91.3,478,526,90.9,192,256,75.0,0,0.1,-0.1,3,57,1,0,70,1054,43,38,1,89,24,3,0,0,0,0,801,105,191,249,760,59,5,1,943,0,14,15,17,12,10,0,0,2,0,0,2,1,0,0,1,0,0,0,33,23,26,7,0,16,42,38.1,26,204,84,41.2,120,71,13,46,25,0,21,36,69,113,1,1339,160,689,686,50,18,1298,3,4,75.0,3,0,753,4178,2466,45,4,0,4,3,845,830,98.2,5,4,0,0,20,17,0,3,36,23,0,1,0,223,47,36,56.6
Aaron Connolly,ie IRL,FW,Brighton,eng Premier League,21-018,7.4,2,18,7,38.9,2.45,0.95,0.11,0.29,13.6,0,0,0,3.0,3.0,0.17,-1.0,-1.0,68,88,77.3,1003,154,38,47,80.9,23,27,85.2,4,5,80.0,1,0.2,+0.8,4,2,1,0,3,79,9,0,0,20,1,2,0,0,0,0,55,24,9,9,65,5,0,2,68,0,0,1,4,10,6,0,2,0,2,0,1,1,0,0,0,0,0,0,5,4,1,3,1,1,5,20.0,4,101,31,30.7,5,48,48,7,1,0,6,0,5,0,0,169,0,10,70,100,32,160,6,8,75.0,6,0,99,554,327,12,6,4,25,13,297,120,40.4,56,0,0,0,5,13,8,2,0,4,1,0,0,25,10,28,26.3
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34-019,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,588,738,79.7,14484,8183,160,161,99.4,231,236,97.9,180,323,55.7,0,0.0,0.0,0,7,0,0,2,539,199,55,1,41,10,0,0,0,0,0,433,35,270,38,598,1,0,83,588,3,10,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,6,0,0.0,6,0,0,0,0,0,0,0,0,2,0,793,660,787,13,1,0,597,0,0,,0,0,426,2504,1639,1,0,0,1,0,402,400,99.5,0,0,0,0,0,3,0,0,0,0,0,0,0,84,0,0,
Andrea Conti,it ITA,DF,Milan,it Serie A,26-350,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,21,25,84.0,416,151,6,7,85.7,14,16,87.5,1,2,50.0,0,0.1,-0.1,1,2,1,0,4,22,3,1,1,1,0,1,0,0,0,0,20,2,3,1,21,1,2,0,21,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,0,8,4,50.0,5,2,1,1,0,0,1,1,2,1,0,29,1,7,20,4,0,26,2,2,100.0,2,0,24,116,76,3,1,0,1,1,21,21,100.0,0,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,
Liam Cooper,sco SCO,DF,Leeds United,eng Premier League,29-169,16.8,1,9,3,33.3,0.54,0.18,0.11,0.33,7.9,0,0,0,0.7,0.7,0.08,+0.3,+0.3,961,1080,89.0,22541,6440,191,203,94.1,556,583,95.4,211,287,73.5,0,0.0,0.0,0,50,2,0,44,1053,27,25,1,75,35,0,0,0,0,0,808,106,166,884,102,49,2,3,961,5,11,9,4,8,6,0,0,1,0,1,2,2,0,0,0,0,0,0,49,35,32,17,0,24,41,58.5,17,193,86,44.6,118,68,7,28,19,0,9,29,78,77,1,1276,169,780,547,27,13,1252,2,2,100.0,2,0,782,4557,2429,34,3,0,3,5,847,833,98.3,1,3,0,0,13,20,1,0,29,35,0,0,0,209,74,36,67.3
Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,29-278,5.5,0,3,0,0.0,0.54,0.00,0.00,,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,306,347,88.2,5219,1112,156,174,89.7,123,134,91.8,23,30,76.7,0,0.3,-0.3,2,21,3,0,16,339,8,7,0,45,10,3,0,0,0,0,280,32,35,52,271,15,1,2,306,2,7,5,5,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,15,7,2,11,2,4,8,50.0,4,74,22,29.7,21,44,9,7,2,0,5,11,26,5,0,404,18,97,248,80,10,396,7,8,87.5,7,0,292,1109,518,15,7,0,3,6,306,288,94.1,16,3,0,0,9,12,0,3,11,7,0,0,0,63,8,6,57.1
Sébastien Corchia,fr FRA,DF,Nantes,fr Ligue 1,30-106,15.2,0,17,6,35.3,1.12,0.39,0.00,0.00,23.8,4,0,0,0.5,0.5,0.03,-0.5,-0.5,480,674,71.2,8352,4306,227,253,89.7,201,248,81.0,41,131,31.3,1,1.2,-0.2,17,31,8,6,52,470,204,32,0,62,28,44,39,13,24,2,329,127,218,51,467,11,133,2,480,1,7,15,34,25,11,13,1,0,0,0,1,1,0,0,0,0,0,0,19,12,10,8,1,9,26,34.6,17,147,46,31.3,44,73,30,27,5,0,22,14,33,44,0,841,35,193,397,292,17,638,9,28,32.1,11,2,443,2223,1276,68,20,6,11,9,518,431,83.2,23,3,0,0,17,33,0,44,14,12,0,0,0,86,19,21,47.5
Alex Cordaz,it ITA,GK,Crotone,it Serie A,38-045,22.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,662,848,78.1,16415,9682,184,185,99.5,284,293,96.9,190,365,52.1,0,0.0,0.0,1,3,0,0,1,628,220,61,0,97,13,0,0,0,0,0,511,39,298,94,624,1,0,105,662,0,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,895,780,892,4,0,0,679,0,0,,0,0,483,2226,1132,0,0,0,0,0,466,466,100.0,0,0,0,0,0,4,0,0,0,0,0,0,0,100,0,0,
Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,es La Liga,23-339,1.1,0,2,0,0.0,1.89,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,17,36,47.2,220,97,9,17,52.9,6,10,60.0,0,6,0.0,0,0.0,0.0,0,0,1,0,2,36,0,0,0,6,0,1,0,0,0,0,19,7,10,18,12,3,0,1,17,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,4,23,7,30.4,6,7,10,3,0,0,3,1,1,1,0,49,0,12,19,20,2,49,1,3,33.3,1,0,26,94,62,2,1,0,1,0,48,31,64.6,4,0,0,0,3,3,1,1,1,0,0,0,0,11,2,0,100.0
Jhon Córdoba,co COL,FW,Hertha BSC,de Bundesliga,27-280,10.0,5,33,12,36.4,3.31,1.21,0.15,0.42,12.7,0,0,0,4.6,4.6,0.14,+0.4,+0.4,145,190,76.3,2649,369,68,83,81.9,49,62,79.0,23,26,88.5,0,1.3,-1.3,14,8,4,3,11,169,21,0,1,51,7,9,0,0,0,0,104,55,31,16,137,9,0,12,145,1,3,1,14,32,22,0,2,2,5,1,3,1,0,0,0,2,0,0,4,2,1,1,2,1,4,25.0,3,128,36,28.1,10,57,61,9,2,0,7,6,10,1,0,308,6,19,153,159,59,287,9,12,75.0,9,0,202,973,401,22,9,9,17,21,449,231,51.4,78,3,0,0,22,23,8,9,6,2,2,1,0,30,24,44,35.3
Sergio Córdova,ve VEN,"FW,MF",Arminia,de Bundesliga,23-190,9.9,2,16,3,18.8,1.62,0.30,0.13,0.67,15.0,0,0,0,2.3,2.3,0.14,-0.3,-0.3,150,212,70.8,2190,576,85,101,84.2,44,64,68.8,11,21,52.4,1,1.1,-0.1,13,18,1,0,16,207,5,1,1,60,2,7,0,0,0,0,136,46,30,22,147,17,2,7,150,0,6,9,12,25,18,0,3,1,2,1,2,2,0,0,0,0,0,0,16,11,1,9,6,3,13,23.1,10,198,45,22.7,19,111,68,12,2,0,10,4,20,12,0,342,13,43,177,153,27,338,8,25,32.0,12,0,214,973,453,20,12,2,18,25,385,221,57.4,70,0,0,0,14,16,9,7,4,11,0,0,0,65,26,34,43.3
Jack Cork,eng ENG,MF,Burnley,eng Premier League,31-235,4.3,0,4,0,0.0,0.94,0.00,0.00,,18.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,94,117,80.3,1467,378,46,53,86.8,36,39,92.3,7,13,53.8,0,0.0,0.0,1,7,1,0,10,116,1,1,0,25,3,1,0,0,0,0,78,17,22,19,81,8,0,2,94,0,2,0,5,4,3,0,0,1,0,0,1,1,0,0,0,0,0,0,5,3,1,3,1,3,4,75.0,1,52,17,32.7,16,25,11,5,2,0,3,3,8,7,0,155,9,27,107,28,6,154,0,0,,0,0,88,373,131,8,2,0,3,7,115,99,86.1,9,0,0,0,7,3,0,1,3,3,0,0,0,30,9,4,69.2
Andreas Cornelius,dk DEN,FW,Parma,it Serie A,27-336,12.8,0,16,5,31.3,1.25,0.39,0.00,0.00,12.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,219,318,68.9,3471,437,122,163,74.8,71,101,70.3,20,30,66.7,0,1.2,-1.2,11,15,5,0,15,300,18,0,1,114,7,5,0,0,0,0,162,84,72,169,48,30,1,16,219,3,4,4,17,19,15,0,1,2,1,0,1,0,0,0,0,1,0,0,5,3,0,2,3,1,6,16.7,5,173,47,27.2,11,68,94,5,1,0,4,1,6,20,1,451,20,51,248,169,50,433,11,17,64.7,11,0,238,988,272,18,4,5,32,17,651,349,53.6,108,1,0,0,20,26,10,5,1,3,1,0,0,40,69,48,59.0
Maxwel Cornet,ci CIV,"DF,FW",Lyon,fr Ligue 1,24-141,18.1,1,14,6,42.9,0.77,0.33,0.07,0.17,17.3,2,0,0,1.9,1.9,0.14,-0.9,-0.9,892,1133,78.7,14932,5802,478,529,90.4,332,435,76.3,73,132,55.3,4,3.0,+1.0,20,54,15,7,77,948,185,16,0,108,18,46,9,1,2,0,741,194,198,722,198,35,160,1,892,1,16,34,42,44,30,5,0,3,6,0,10,8,0,0,0,2,0,0,56,32,36,13,7,21,46,45.7,25,217,72,33.2,110,72,35,31,2,0,29,23,79,46,1,1344,56,422,644,351,40,1166,16,23,69.6,16,0,770,3916,2423,102,24,11,18,24,891,827,92.8,76,5,0,0,22,23,0,46,23,32,2,0,0,167,29,22,56.9
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,25-343,13.4,4,24,11,45.8,1.79,0.82,0.17,0.36,16.9,0,0,0,2.8,2.5,0.10,+1.2,+1.5,357,463,77.1,4943,1047,215,256,84.0,102,128,79.7,18,47,38.3,6,2.9,+3.1,19,16,17,1,30,444,19,4,2,81,4,21,5,1,3,0,343,55,65,98,342,13,0,4,357,3,6,12,14,38,29,1,4,2,2,0,10,8,0,1,0,1,0,0,16,15,7,6,3,3,22,13.6,19,245,74,30.2,51,111,83,23,1,0,22,8,24,6,0,637,12,94,280,298,83,619,28,50,56.0,30,3,486,1592,854,57,19,16,28,38,650,463,71.2,127,2,0,0,20,14,7,21,8,15,0,0,0,90,9,27,25.0
Joaquín Correa,ar ARG,FW,Lazio,it Serie A,26-186,11.8,2,24,10,41.7,2.04,0.85,0.08,0.20,13.5,0,0,0,2.9,2.9,0.12,-0.9,-0.9,330,402,82.1,5397,898,179,199,89.9,104,128,81.3,36,48,75.0,2,0.9,+1.1,16,22,10,0,25,374,28,1,0,87,12,5,10,7,1,2,307,60,35,37,347,6,3,7,330,5,0,7,14,47,29,2,7,2,7,0,7,3,1,2,0,1,0,0,7,6,0,5,2,2,10,20.0,8,143,51,35.7,9,74,60,6,0,0,6,5,12,5,0,548,8,27,262,301,66,521,17,32,53.1,18,1,431,2099,1186,66,18,7,30,34,586,441,75.3,127,1,0,0,13,31,3,5,5,6,1,0,0,48,4,16,20.0
Rober Correa,es ESP,DF,Eibar,es La Liga,28-148,7.5,0,1,0,0.0,0.13,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.02,0.0,0.0,209,326,64.1,3916,1459,91,117,77.8,85,131,64.9,30,66,45.5,0,0.1,-0.1,2,18,4,3,15,243,83,3,0,50,7,14,0,0,0,0,125,84,117,24,162,40,80,0,209,0,15,4,8,4,3,0,0,0,1,0,1,0,0,0,0,1,0,0,13,9,9,4,0,8,12,66.7,4,81,27,33.3,35,31,15,14,0,0,14,10,23,39,0,415,21,131,222,84,7,334,7,8,87.5,7,2,173,1056,475,25,11,0,7,1,169,154,91.1,9,2,0,0,3,9,0,14,10,9,1,0,0,92,29,18,61.7
Thierry Correia,pt POR,DF,Valencia,es La Liga,21-343,12.2,0,3,1,33.3,0.25,0.08,0.00,0.00,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,460,618,74.4,9085,3460,179,201,89.1,203,264,76.9,70,123,56.9,0,0.6,-0.6,10,26,13,8,29,504,114,11,0,79,17,28,0,0,0,0,320,146,152,42,438,26,103,3,460,4,8,14,26,17,14,0,0,1,1,1,0,0,0,0,0,0,0,0,32,20,24,6,2,12,23,52.2,11,172,50,29.1,86,56,30,22,3,0,19,13,45,46,1,764,50,268,357,189,8,659,17,31,54.8,22,3,435,2035,1168,51,13,2,9,9,460,425,92.4,16,5,1,1,22,23,0,28,13,20,0,0,0,113,14,12,53.8
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,37-095,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,249,287,86.8,6303,3350,59,59,100.0,113,114,99.1,71,108,65.7,0,0.0,0.0,0,1,0,0,0,226,61,19,0,11,3,0,0,0,0,0,208,7,72,5,253,1,0,23,249,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,1,301,270,301,1,0,0,240,0,0,,0,0,177,1035,685,0,0,0,0,0,183,183,100.0,0,2,0,0,0,0,1,0,0,0,0,0,0,24,0,0,
Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,27-217,4.0,0,1,0,0.0,0.25,0.00,0.00,,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0,80,137,58.4,1810,1119,25,35,71.4,35,62,56.5,19,37,51.4,1,1.0,0.0,8,10,10,3,17,98,39,1,0,17,2,12,0,0,0,0,47,23,67,12,78,7,38,0,80,0,5,4,6,11,8,0,2,0,0,1,2,1,0,1,0,0,0,0,6,3,2,3,1,3,8,37.5,5,54,11,20.4,20,23,11,2,0,0,2,5,11,13,0,172,8,52,71,58,4,133,9,10,90.0,9,1,85,480,264,15,5,2,4,3,87,65,74.7,0,1,0,0,1,1,0,12,5,3,0,0,0,34,8,1,88.9
David Pereira da Costa,pt POR,"MF,DF",Lens,fr Ligue 1,20-041,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,19,27,70.4,476,120,1,3,33.3,14,15,93.3,4,9,44.4,0,0.0,0.0,1,4,0,0,3,26,1,0,0,3,2,0,1,0,1,0,18,1,8,9,18,0,0,0,19,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,100.0,0,7,2,28.6,0,5,2,0,0,0,0,0,2,0,0,29,0,4,17,10,0,28,0,0,,0,0,22,141,88,5,1,0,0,0,25,22,88.0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,
Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,32-131,2.3,2,4,2,50.0,1.73,0.87,0.25,0.50,13.1,0,1,1,1.4,0.6,0.16,+0.6,+0.4,56,73,76.7,801,77,39,48,81.3,11,15,73.3,4,4,100.0,0,0.3,-0.3,4,1,4,0,4,73,0,0,1,24,2,2,0,0,0,0,42,21,10,5,50,5,0,6,56,0,1,0,5,9,7,0,0,1,1,0,3,2,0,0,0,1,0,0,1,0,1,0,0,1,3,33.3,2,30,6,20.0,3,18,9,1,0,0,1,0,1,2,0,99,2,6,44,53,20,99,0,0,,0,0,51,168,73,4,2,3,7,6,119,90,75.6,28,1,0,0,7,3,5,2,0,0,1,0,0,3,9,15,37.5
Hélder Costa,pt POR,MF,Leeds United,eng Premier League,27-034,8.2,3,10,5,50.0,1.22,0.61,0.30,0.60,14.7,0,0,0,1.0,1.0,0.10,+1.0,+1.0,175,230,76.1,2382,609,108,120,90.0,55,72,76.4,4,15,26.7,2,0.8,+1.2,8,4,10,4,11,226,4,0,0,35,1,13,0,0,0,0,170,37,23,172,46,5,4,2,175,0,3,6,14,16,12,0,1,1,2,0,2,2,0,0,0,0,0,0,16,9,8,3,5,5,17,29.4,12,147,44,29.9,54,46,47,13,0,0,13,3,19,4,0,338,8,73,137,159,32,334,10,23,43.5,12,2,239,1373,820,35,9,5,14,26,324,244,75.3,46,0,0,0,13,10,2,13,3,9,0,0,1,48,1,16,5.9
