Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Miscon,Dispos,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_OG,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Playing Time_MP,Playing Time_Starts,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,xGChain,xGBuildup,xPassing%,shot_chain%,key_pass_chain%
Granit Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,1656,1886,87.8,34314,8530,16,35,45.7,1187,1305,91.0,453,546,83.0,2,1.0,1.0,15,190,23,3,173,1886,1822,64,52,3,379,76,16,0,0,0,0,1330,288,268,1477,281,80,12,4,1656,8,21,24,26,2145,126,635,1321,315,18,2095,27,32,84.4,27,2,1528,7434,3612,1643,1559,94.9,10,12,39,1.36,33,1,2,1,2,4,0.14,3,0,0,0,1,0,1,11,3,27.3,0.38,0.1,0.09,0.33,0,0,0,0.4,0.4,0.03,0.6,0.6,31,30,1,2,0,0,10,0,0.03,0.07,0.1,0.03,0.1,1.0,0.01,0.03,0.05,0.01,0.05,12.9738598801196,12.263057757169,0.8342141717306809,0.18102951228485398,0.049051615964981865
Harry Kane,eng ENG,FW,Tottenham,26,1993,28.7,394,592,66.6,6928,1845,13,49,26.5,297,400,74.3,84,143,58.7,2,2.5,-0.5,24,48,17,3,67,592,561,31,5,6,184,17,21,0,0,0,0,315,164,113,63,434,32,6,9,394,2,14,19,33,923,39,85,467,434,132,886,28,59,47.5,34,3,607,3924,2018,1328,689,51.9,52,43,53,1.84,37,0,7,4,5,6,0.21,3,0,0,2,1,0,18,78,34,43.6,2.71,1.18,0.21,0.47,7,2,2,10.6,9.1,0.12,7.4,6.9,29,29,18,2,2,2,4,0,0.63,0.07,0.7,0.56,0.63,2.5,0.37,0.09,0.45,0.32,0.4,16.8546158839017,3.05130130890757,0.7062117903232981,0.6271484276947777,0.14989222017166104
Gylfi Sigurðsson,is ISL,MF,Everton,29,1989,28.4,868,1110,78.2,16899,5024,15,39,38.5,639,738,86.6,214,333,64.3,3,3.8,-0.8,46,95,27,5,140,1110,975,135,42,3,160,50,131,71,29,35,5,710,186,214,175,871,38,3,6,868,3,20,14,34,1410,37,226,721,509,55,1273,23,38,60.5,26,2,858,3675,1447,1006,846,84.1,33,34,80,2.81,32,31,4,11,2,8,0.28,4,2,1,1,0,0,2,45,12,26.7,1.58,0.42,0.02,0.08,5,1,1,4.2,3.4,0.08,-2.2,-2.4,35,28,2,3,1,1,3,0,0.07,0.11,0.18,0.04,0.14,3.8,0.15,0.13,0.28,0.12,0.26,11.0462007373571,7.52126183360815,0.710181390030492,0.3658315499641869,0.13007951212685898
Dale Stephens,eng ENG,MF,Brighton,30,1989,28.1,1421,1641,86.6,29947,7020,18,36,50.0,1006,1111,90.5,397,494,80.4,1,1.1,-0.1,18,143,19,2,140,1641,1624,17,12,4,297,58,4,0,0,0,0,1100,284,257,175,1376,63,4,6,1421,4,24,26,25,1901,93,575,1140,291,9,1884,10,11,90.9,10,0,1281,6014,2256,1388,1319,95.0,11,16,40,1.42,38,0,0,2,0,3,0.11,3,0,0,0,0,0,0,18,2,11.1,0.64,0.07,0.0,0.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5,33,28,0,1,0,0,8,0,0.0,0.04,0.04,0.0,0.04,1.1,0.02,0.04,0.06,0.02,0.06,7.18678978830576,6.23962599225342,0.8498937737580199,0.21072680416591605,0.059237009687632236
Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,878,1179,74.5,15927,3953,20,50,40.0,655,837,78.3,203,292,69.5,1,1.1,-0.1,16,77,16,2,88,1179,1120,59,20,4,283,20,15,0,0,0,0,700,218,261,828,130,100,39,5,878,5,41,19,29,1632,134,477,799,436,60,1576,20,38,52.6,22,0,853,4587,2125,1063,891,83.8,35,30,43,1.53,35,2,2,3,1,4,0.14,4,0,0,0,0,0,1,34,8,23.5,1.21,0.28,0.03,0.13,1,0,0,2.5,2.5,0.07,-1.5,-1.5,34,29,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,1.1,0.09,0.04,0.13,0.09,0.13,6.99895029980689,5.09285750705749,0.791362648590668,0.41361170548982096,0.09639672015088852
Cheikhou Kouyaté,sn SEN,MFDF,Crystal Palace,29,1989,28.1,653,860,75.9,10612,3244,24,59,40.7,522,643,81.2,107,158,67.7,1,0.8,0.2,8,39,8,1,57,860,844,16,10,0,204,6,15,0,0,0,0,553,151,156,72,639,73,5,14,653,1,19,15,31,1210,84,397,622,252,55,1194,18,35,51.4,20,1,679,3472,1659,861,684,79.4,38,22,16,0.57,14,0,1,1,0,1,0.04,1,0,0,0,0,0,1,23,5,21.7,0.82,0.18,0.04,0.2,0,0,0,1.8,1.8,0.08,-0.8,-0.8,35,29,1,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,0.8,0.07,0.03,0.09,0.07,0.09,3.46302137989551,1.33979600388557,0.742137980372312,0.38761882867579645,0.08437093030995102
Ricardo Pereira,pt POR,DF,Leicester City,25,1993,28.0,1513,1875,80.7,25283,9727,14,66,21.2,1293,1479,87.4,206,330,62.4,2,3.6,-1.6,27,96,38,9,218,1875,1553,322,17,3,335,20,57,0,0,0,0,1095,399,381,195,1312,41,305,4,1513,3,18,46,67,2330,107,595,1151,747,62,2018,59,88,67.0,63,1,1463,8459,5867,1560,1438,92.2,32,55,60,2.14,50,2,5,0,3,9,0.32,8,0,0,0,1,0,3,17,5,29.4,0.61,0.18,0.18,0.6,0,0,0,1.2,1.1,0.07,1.8,1.9,28,28,3,2,0,0,1,0,0.11,0.07,0.18,0.11,0.18,3.6,0.04,0.13,0.17,0.04,0.17,11.0598178468645,8.11590220406652,0.796100418291676,0.2857055818944896,0.08487884947038193
John Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,854,1164,73.4,15203,4967,31,79,39.2,663,775,85.5,160,310,51.6,2,3.4,-1.4,38,91,33,7,130,1164,1030,134,31,3,224,63,147,77,50,10,5,680,215,269,987,96,57,7,8,854,8,23,22,48,1406,36,211,621,659,54,1277,43,62,69.4,48,3,892,4839,2790,1004,870,86.7,30,22,71,2.54,48,16,5,2,0,5,0.18,4,0,1,0,0,0,5,32,12,37.5,1.14,0.43,0.16,0.42,0,0,0,3.3,3.3,0.1,1.7,1.7,30,28,5,2,0,0,8,0,0.18,0.07,0.25,0.18,0.25,3.4,0.12,0.12,0.24,0.12,0.24,10.2745445724577,5.32346470374614,0.677095938096765,0.4271916252873543,0.13725329523051696
Luka Milivojević,rs SRB,MF,Crystal Palace,28,1991,27.9,1161,1506,77.1,24830,8182,19,36,52.8,795,906,87.7,347,564,61.5,1,1.8,-0.8,28,105,9,0,170,1506,1257,249,137,1,241,107,146,99,61,25,6,895,208,403,204,1201,62,6,12,1161,2,41,21,21,1784,96,504,1003,358,10,1529,11,17,64.7,12,1,963,4508,1964,1023,970,94.8,19,11,43,1.54,17,25,1,0,0,3,0.11,2,1,0,0,0,0,3,29,7,24.1,1.04,0.25,0.03,0.14,11,2,2,2.5,0.9,0.03,0.5,0.1,31,28,3,1,2,2,12,0,0.11,0.04,0.14,0.04,0.07,1.8,0.09,0.07,0.15,0.03,0.1,4.50462287664414,3.98632946051657,0.723128578445972,0.35702764269079723,0.10684773071000661
Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1227,1558,78.8,21238,9268,16,56,28.6,1018,1172,86.9,193,330,58.5,2,3.1,-1.1,32,85,25,5,216,1558,1175,383,62,0,222,35,88,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3130,1079,994,92.1,21,16,62,2.23,32,23,3,2,2,5,0.18,3,1,1,0,0,0,3,26,5,19.2,0.93,0.18,0.08,0.4,3,1,1,2.4,1.6,0.06,0.6,0.4,29,29,3,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,3.1,0.08,0.11,0.2,0.06,0.17,5.90049669053406,4.38724836986512,0.746729081255546,0.3272537762471117,0.10105762396553958
Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,1042,1183,88.1,21680,7019,9,20,45.0,725,787,92.1,308,376,81.9,2,0.5,1.5,4,67,10,0,61,1183,1130,53,33,1,150,15,4,0,0,0,0,852,134,197,840,209,92,20,1,1042,2,11,5,13,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,13,0.47,7,0,1,4,1,2,0.07,1,0,0,1,0,0,2,24,7,29.2,0.86,0.25,0.08,0.29,0,0,0,2.5,2.5,0.1,-0.5,-0.5,29,29,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,0.5,0.09,0.02,0.11,0.09,0.11,3.54550060071051,2.95715484209359,0.8669256732866719,0.2126800243420286,0.034788237592677795
Todd Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,884,1106,79.9,13330,3041,38,74,51.4,744,860,86.5,102,172,59.3,2,2.7,-0.7,36,72,21,1,81,1106,1069,37,13,1,259,29,25,4,0,1,0,818,181,107,93,950,30,15,9,884,6,35,23,38,1511,42,273,757,607,92,1479,57,94,60.6,61,1,1103,6989,3729,1401,1111,79.3,59,50,73,2.64,58,0,6,3,6,5,0.18,5,0,0,0,0,0,6,42,16,38.1,1.52,0.58,0.14,0.38,0,0,0,5.9,5.9,0.14,0.1,0.1,37,30,6,2,0,0,6,0,0.22,0.07,0.29,0.22,0.29,2.7,0.21,0.1,0.31,0.21,0.31,11.0051022870466,3.8052573222667,0.775224663446039,0.3643432269703839,0.11413294820834813
Craig Cathcart,nir NIR,DF,Watford,30,1989,27.6,719,864,83.2,15703,4906,7,14,50.0,471,521,90.4,241,329,73.3,0,0.0,0.0,1,38,3,1,44,864,841,23,18,0,138,32,1,0,0,0,0,521,120,223,196,549,75,5,3,719,2,14,7,5,1157,160,633,539,24,11,1135,4,6,66.7,4,0,607,2639,1066,600,584,97.3,3,5,5,0.18,5,0,0,0,0,1,0.04,1,0,0,0,0,0,0,2,1,50.0,0.07,0.04,0.0,0.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3,29,28,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2.23296462092549,2.19533149991184,0.853201419321219,0.25164025083750396,0.048359032508215494
Son Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,705,882,79.9,11216,2546,17,54,31.5,582,656,88.7,106,172,61.6,10,6.8,3.2,43,45,26,3,84,882,802,80,12,6,201,33,77,47,20,14,7,629,143,110,118,714,23,15,4,705,1,10,15,43,1241,26,155,492,691,147,1162,67,116,57.8,75,4,936,6827,4078,1273,868,68.2,46,69,95,3.45,60,7,15,10,3,22,0.8,13,1,3,4,1,0,11,81,39,48.1,2.94,1.42,0.14,0.28,1,0,1,8.7,7.8,0.1,2.3,3.2,30,28,11,10,0,1,0,2,0.4,0.36,0.76,0.4,0.76,6.8,0.31,0.25,0.56,0.28,0.53,18.8000116944313,6.51401295512915,0.73642052759447,0.41747674987546524,0.1287251383435452
Emi Buendía,ar ARG,FWMF,Norwich City,22,1996,27.4,1144,1534,74.6,20521,7001,31,77,40.3,866,1021,84.8,247,436,56.7,7,7.2,-0.2,79,145,58,4,220,1534,1343,191,66,16,378,87,166,108,46,50,10,1040,201,293,199,1272,29,17,2,1144,8,27,37,52,1983,59,395,949,787,57,1798,106,139,76.3,111,3,1457,8210,4948,1561,1329,85.1,67,90,135,4.93,83,30,10,3,9,7,0.26,5,1,0,1,0,0,1,40,11,27.5,1.46,0.4,0.03,0.09,10,0,0,2.3,2.3,0.06,-1.3,-1.3,36,28,1,7,0,0,6,1,0.04,0.26,0.29,0.04,0.29,7.2,0.08,0.26,0.35,0.08,0.35,12.5479485616088,7.51115466654301,0.728830633971971,0.3881814086536892,0.1881801332471727
John Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27.3,966,1202,80.4,18416,3844,21,55,38.2,722,844,85.5,223,303,73.6,3,2.4,0.6,19,77,31,6,94,1202,1179,23,8,4,262,51,55,3,2,0,1,759,229,214,320,800,54,3,6,966,9,28,20,32,1488,57,257,704,617,64,1466,17,34,50.0,20,4,972,5340,1931,1274,1059,83.1,36,21,44,1.61,36,1,0,5,2,6,0.22,5,0,0,1,0,0,5,44,11,25.0,1.61,0.4,0.11,0.45,0,0,0,5.2,5.2,0.12,-0.2,-0.2,34,26,5,3,0,0,5,0,0.18,0.11,0.29,0.18,0.29,2.4,0.19,0.09,0.28,0.19,0.28,12.0081140268594,5.02610065415502,0.812166091848314,0.3617958706903013,0.08785251394065682
Moussa Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,1106,1279,86.5,19228,3955,31,52,59.6,881,987,89.3,194,240,80.8,1,1.0,0.0,16,73,13,3,95,1279,1212,67,21,2,196,23,23,0,0,0,0,960,186,133,125,1025,47,46,12,1106,3,14,24,23,1537,77,388,864,394,32,1476,41,67,61.2,46,4,1035,6809,3739,1123,997,88.8,21,31,27,0.99,26,0,1,0,0,2,0.07,2,0,0,0,0,0,2,14,4,28.6,0.51,0.15,0.14,0.5,0,0,0,2.4,2.4,0.17,-0.4,-0.4,29,28,2,1,0,0,8,0,0.07,0.04,0.11,0.07,0.11,1.0,0.09,0.04,0.12,0.09,0.12,8.97499118745327,5.87564988806844,0.8396501043927771,0.22406690420870667,0.059764494190252204
Jack Stephens,eng ENG,DF,Southampton,25,1994,27.2,906,1199,75.6,20756,7435,10,27,37.0,577,661,87.3,319,511,62.4,3,1.2,1.8,8,84,10,0,90,1199,1149,50,37,3,197,35,5,0,0,0,0,718,121,360,62,1010,92,13,2,906,6,37,8,23,1545,211,824,785,44,16,1498,8,12,66.7,8,1,811,4999,2799,862,840,97.4,8,7,15,0.55,13,1,1,0,0,3,0.11,3,0,0,0,0,0,1,6,1,16.7,0.22,0.04,0.17,1.0,0,0,0,0.8,0.8,0.13,0.2,0.2,28,27,1,3,0,0,4,1,0.04,0.11,0.15,0.04,0.15,1.2,0.03,0.05,0.07,0.03,0.07,5.80527073889971,4.65318862907589,0.707504209305189,0.36140204328264414,0.08525968038591775
Chris Wood,nz NZL,FW,Burnley,27,1991,27.1,312,483,64.6,4073,485,21,43,48.8,266,394,67.5,25,46,54.3,1,0.9,0.1,19,10,5,0,16,483,470,13,0,0,163,4,8,0,0,0,0,207,153,123,60,249,69,2,20,312,4,12,13,14,763,22,58,309,421,111,749,9,20,45.0,10,1,365,1451,692,1314,580,44.1,85,31,49,1.81,32,0,5,4,8,3,0.11,3,0,0,0,0,0,14,64,28,43.8,2.36,1.03,0.2,0.46,0,1,1,12.9,12.1,0.19,1.1,0.9,32,29,14,1,1,1,1,0,0.52,0.04,0.55,0.48,0.52,0.9,0.48,0.03,0.51,0.45,0.48,12.6426508836448,2.45541091542691,0.750513358175654,0.6504066877977019,0.14222909083494178
Davinson Sánchez,co COL,DF,Tottenham,23,1996,27.0,1298,1496,86.8,28022,8017,6,24,25.0,890,960,92.7,402,512,78.5,0,0.0,0.0,1,48,0,0,60,1496,1457,39,24,0,218,42,2,0,0,0,0,1142,160,194,201,1181,70,15,4,1298,2,17,13,20,1791,284,984,848,50,17,1754,8,11,72.7,8,0,1178,5694,2571,1210,1199,99.1,6,5,6,0.22,5,0,0,1,0,0,0.0,0,0,0,0,0,0,0,8,3,37.5,0.3,0.11,0.0,0.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,29,27,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,7.25579681806266,7.219507900998,0.8616677268039691,0.2021212935425878,0.03315712610097393
Steve Cook,eng ENG,DF,Bournemouth,28,1991,27.0,993,1222,81.3,22728,7506,6,22,27.3,626,703,89.0,361,497,72.6,0,0.3,-0.3,3,49,3,0,65,1222,1163,59,41,2,177,20,2,0,0,0,0,755,155,312,43,1017,95,18,0,993,4,22,7,12,1559,262,941,621,69,26,1500,4,4,100.0,4,0,823,4492,2115,923,891,96.5,6,4,6,0.22,5,1,0,0,0,0,0.0,0,0,0,0,0,0,1,13,2,15.4,0.48,0.07,0.08,0.5,0,0,0,0.8,0.8,0.06,0.2,0.2,29,28,1,0,0,0,6,1,0.04,0.0,0.04,0.04,0.04,0.3,0.03,0.01,0.04,0.03,0.04,3.92374386638403,3.7979082390666,0.8163403196873089,0.28981211568268694,0.05696187966151112
Kyle Walker,eng ENG,DF,Manchester City,29,1990,26.6,1884,2144,87.9,38487,8518,16,60,26.7,1363,1482,92.0,505,602,83.9,4,2.2,1.8,17,222,28,7,181,2144,1922,222,27,2,252,83,55,1,0,0,0,1514,353,277,57,1801,52,194,19,1884,4,25,28,45,2337,65,468,1453,601,36,2117,25,32,78.1,27,2,1620,10026,5605,1769,1692,95.6,14,18,49,1.84,45,0,3,0,1,6,0.23,6,0,0,0,0,0,1,13,3,23.1,0.49,0.11,0.08,0.33,1,0,0,0.9,0.9,0.07,0.1,0.1,29,28,1,4,0,0,5,0,0.04,0.15,0.19,0.04,0.19,2.2,0.03,0.08,0.12,0.03,0.12,17.8752870410681,16.1410789862275,0.813157536850002,0.17740393371074936,0.051406696754743575
Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,1985,2190,90.6,44224,14225,12,28,42.9,1303,1395,93.4,670,767,87.4,1,0.6,0.4,7,226,11,1,168,2190,2134,56,44,2,249,76,5,0,0,0,0,1709,193,288,243,1800,83,12,10,1985,6,23,12,22,2435,241,971,1526,113,21,2381,12,14,85.7,12,2,1751,11286,7387,1884,1854,98.4,6,7,27,1.01,24,0,0,3,0,5,0.19,5,0,0,0,0,0,0,17,2,11.8,0.64,0.08,0.0,0.0,0,0,0,1.1,1.1,0.07,-1.1,-1.1,30,26,0,1,0,0,9,2,0.0,0.04,0.04,0.0,0.04,0.6,0.04,0.02,0.06,0.04,0.06,16.4618584923446,16.1929758898914,0.836666420795854,0.1478447388103692,0.02869342293012045
Joel Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,932,1260,74.0,15576,7022,30,82,36.6,749,885,84.6,153,293,52.2,0,0.2,-0.2,5,71,15,7,137,1260,979,281,14,0,217,19,37,0,0,0,0,608,328,324,92,793,72,267,10,932,5,37,29,53,1544,118,518,764,335,11,1268,13,19,68.4,14,2,754,3656,2004,799,744,93.1,12,20,9,0.34,8,0,0,0,0,2,0.08,1,0,0,0,0,1,0,5,1,20.0,0.19,0.04,0.0,0.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,29,27,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.01,0.02,0.01,0.02,2.54627021029592,2.20583796873689,0.693990630847619,0.3840338562023835,0.08379925992992818
Jorginho,it ITA,MF,Chelsea,27,1991,26.4,1955,2221,88.0,37518,9104,33,54,61.1,1480,1619,91.4,442,548,80.7,2,2.4,-0.4,23,238,31,1,191,2221,2163,58,53,5,425,67,9,0,0,0,0,1542,330,349,127,2028,46,5,5,1955,6,15,21,19,2472,81,589,1623,408,15,2418,17,24,70.8,19,0,1801,7674,3786,1862,1791,96.2,8,22,65,2.46,61,0,0,1,3,6,0.23,5,0,0,0,1,0,4,10,1,10.0,0.38,0.04,0.1,1.0,0,3,3,3.4,1.1,0.11,0.6,-0.1,31,27,4,2,3,3,10,0,0.15,0.08,0.23,0.04,0.11,2.4,0.13,0.09,0.22,0.04,0.13,15.9180484712124,14.9924666546285,0.8215904590820089,0.16689976971659992,0.057422030095382603
Ben Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1528,1956,78.1,26142,8359,18,73,24.7,1290,1471,87.7,220,412,53.4,3,3.5,-0.5,36,96,23,12,162,1956,1653,303,32,3,324,40,104,7,0,3,0,1165,381,410,1414,183,53,264,4,1528,3,42,32,63,2310,77,627,1154,729,58,2015,23,46,50.0,25,0,1500,10242,6221,1634,1524,93.3,35,37,62,2.35,53,7,1,1,0,7,0.27,7,0,0,0,0,0,3,15,6,40.0,0.57,0.23,0.2,0.5,0,0,0,0.9,0.9,0.06,2.1,2.1,27,27,3,3,0,0,3,0,0.11,0.11,0.23,0.11,0.23,3.5,0.04,0.13,0.17,0.04,0.17,10.0881569813937,8.04045776091516,0.7792800861800011,0.3132663207805142,0.10793137175999667
Craig Dawson,eng ENG,DF,Watford,29,1990,26.2,729,908,80.3,17549,5757,4,14,28.6,426,485,87.8,299,409,73.1,0,0.3,-0.3,4,57,2,0,53,908,878,30,13,1,149,52,4,0,0,0,0,531,143,234,53,719,64,17,9,729,5,24,8,13,1225,167,634,562,79,47,1197,2,2,100.0,2,0,631,2921,1372,693,657,94.8,9,6,12,0.46,7,0,0,5,0,0,0.0,0,0,0,0,0,0,2,23,7,30.4,0.88,0.27,0.09,0.29,0,0,0,2.2,2.2,0.1,-0.2,-0.2,29,26,2,0,0,0,6,0,0.08,0.0,0.08,0.08,0.08,0.3,0.08,0.01,0.1,0.08,0.1,4.19716775324196,3.98917105235159,0.771392552781207,0.32455690148466654,0.06507426105997194
Alexander Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,1100,1242,88.6,19202,4074,13,32,40.6,895,975,91.8,192,235,81.7,1,0.8,0.2,5,54,4,0,45,1242,1229,13,11,1,280,19,4,1,0,0,0,968,143,131,163,963,79,1,9,1100,0,12,11,13,1494,127,564,839,177,12,1482,16,24,66.7,19,0,951,4914,2235,983,948,96.4,22,12,18,0.69,16,0,0,2,0,1,0.04,1,0,0,0,0,0,1,23,3,13.0,0.89,0.12,0.04,0.33,0,0,0,0.8,0.8,0.04,0.2,0.2,30,28,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.8,0.03,0.03,0.06,0.03,0.06,5.79071537032723,5.0390484072268,0.889207493331631,0.1975259172898809,0.03172146450516089
Kurt Zouma,fr FRA,DF,Chelsea,24,1994,26.0,1772,1982,89.4,41239,10424,7,23,30.4,1106,1190,92.9,659,769,85.7,0,0.2,-0.2,1,108,2,0,84,1982,1952,30,25,0,212,90,0,0,0,0,0,1552,140,290,353,1513,66,5,2,1772,3,31,13,13,2291,265,1218,1162,50,20,2263,8,12,66.7,9,0,1588,8059,4309,1698,1674,98.6,6,5,14,0.54,12,0,0,1,1,0,0.0,0,0,0,0,0,0,0,15,5,33.3,0.58,0.19,0.0,0.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7,28,25,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.01,0.04,0.03,0.04,9.40210198331624,9.39271780569107,0.8704722607255739,0.16823117321620606,0.024254061449835107
Diego Rico,es ESP,DF,Bournemouth,26,1993,25.9,1012,1483,68.2,19393,10503,23,80,28.8,763,940,81.2,226,463,48.8,4,2.8,1.2,33,105,32,13,237,1483,1103,380,61,4,206,38,174,72,36,23,6,643,368,472,1060,70,84,247,2,1012,5,40,35,63,1825,97,636,772,489,13,1452,19,40,47.5,23,5,863,4030,2190,893,838,93.8,13,21,52,2.01,23,28,0,0,0,7,0.27,4,2,0,0,0,1,0,11,3,27.3,0.42,0.12,0.0,0.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3,27,27,0,4,0,0,6,0,0.0,0.15,0.15,0.0,0.15,2.8,0.01,0.11,0.12,0.01,0.12,4.19968083780259,3.41219831816852,0.622213240253068,0.4544406434889321,0.14410813454801488
John McGinn,sco SCO,MF,Aston Villa,24,1994,25.7,584,772,75.6,13624,3881,13,38,34.2,360,435,82.8,211,299,70.6,3,2.4,0.6,40,71,30,8,113,772,700,72,30,3,168,74,64,25,16,4,2,446,113,213,550,174,25,4,4,584,7,17,10,23,1106,43,214,534,442,76,1043,53,69,76.8,55,0,770,5347,2802,826,684,82.8,37,57,93,3.62,69,10,7,2,5,9,0.35,6,1,1,0,1,0,3,55,19,34.5,2.14,0.74,0.05,0.16,0,0,0,3.9,3.9,0.07,-0.9,-0.9,28,27,3,3,0,0,3,0,0.12,0.12,0.23,0.12,0.23,2.4,0.15,0.09,0.24,0.15,0.24,9.97086067125201,5.28958517313004,0.706186537937803,0.4354860505271059,0.14442265767163812
Jamal Lewis,nir NIR,DF,Norwich City,21,1998,25.6,1036,1306,79.3,17173,6330,15,59,25.4,887,1023,86.7,134,224,59.8,0,1.0,-1.0,15,41,20,8,115,1306,1050,256,14,1,214,19,44,0,0,0,0,766,325,215,901,128,26,242,1,1036,3,22,30,53,1599,125,659,683,395,23,1352,37,62,59.7,39,2,961,7358,4286,1031,925,89.7,26,23,32,1.25,26,2,3,0,1,1,0.04,1,0,0,0,0,0,1,9,4,44.4,0.35,0.16,0.11,0.25,0,0,0,0.3,0.3,0.03,0.7,0.7,28,25,1,0,0,0,4,0,0.04,0.0,0.04,0.04,0.04,1.0,0.01,0.04,0.05,0.01,0.05,4.06684300303459,2.89074260089546,0.770293394574166,0.3075031328542732,0.07834474103685907
Matt Targett,eng ENG,DF,Aston Villa,23,1995,25.5,894,1219,73.3,16472,7323,16,53,30.2,706,831,85.0,172,335,51.3,2,2.7,-0.7,26,76,30,12,164,1219,978,241,33,0,218,34,81,10,7,0,2,605,290,324,789,133,77,198,5,894,4,25,18,41,1501,124,512,648,418,33,1264,10,23,43.5,14,1,758,3296,1854,833,771,92.6,6,20,54,2.12,46,6,0,1,1,4,0.16,3,0,0,1,0,0,1,7,4,57.1,0.27,0.16,0.14,0.25,1,0,0,0.5,0.5,0.07,0.5,0.5,28,27,1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,2.7,0.02,0.11,0.12,0.02,0.12,7.98819356411696,6.49418311566114,0.6782008592336161,0.3816823489463781,0.11700829539196411
